barangay,city,province,region,urban_or_rural,population_2020
Libertad Alto,Sinacaban,Misamis Occidental,Region X (Northern Mindanao),R," 1,059 "
Ani-e,Claveria,Misamis Oriental,Region X (Northern Mindanao),R," 3,519 "
Gregorio Pelaez,Gitagum,Misamis Oriental,Region X (Northern Mindanao),R," 1,124 "
Pag-asa,Magsaysay,Misamis Oriental,Region X (Northern Mindanao),R, 566 
Rosario,Tagoloan,Misamis Oriental,Region X (Northern Mindanao),R," 1,130 "
Southern Davao,City of Panabo,Davao del Norte,Region XI (Davao Region),U," 9,899 "
Datu Balong,San Isidro,Davao del Norte,Region XI (Davao Region),R," 1,444 "
San Jose,Compostela,Davao de Oro,Region XI (Davao Region),U," 2,754 "
Kingking ,Pantukan,Davao de Oro,Region XI (Davao Region),U," 29,317 "
Bangbang,Matalam,Cotabato,Region XII (SOCCSKSARGEN),R," 1,259 "
La Suerte,M'Lang,Cotabato,Region XII (SOCCSKSARGEN),R, 705 
Tigbawan,Pigkawayan,Cotabato,Region XII (SOCCSKSARGEN),U," 1,552 "
Bantangan,Columbio,Sultan Kudarat,Region XII (SOCCSKSARGEN),R," 1,701 "
Cardona,Dolores,Abra,Cordillera Administrative Region (CAR),R, 574 
Guinguinabang,Lacub,Abra,Cordillera Administrative Region (CAR),R, 316 
Natubleng,Buguias,Benguet,Cordillera Administrative Region (CAR),R," 2,746 "
Hapao,Hungduan,Ifugao,Cordillera Administrative Region (CAR),R," 2,011 "
Nagacadan,Kiangan,Ifugao,Cordillera Administrative Region (CAR),R, 885 
Panubtuban,Asipulo,Ifugao,Cordillera Administrative Region (CAR),R," 1,245 "
Balinciagao Norte,Pasil,Kalinga,Cordillera Administrative Region (CAR),R," 1,094 "
Agbannawag,City of Tabuk ,Kalinga,Cordillera Administrative Region (CAR),U," 5,723 "
Kasapa,Loreto,Agusan del Sur,Region XIII (Caraga),R," 1,975 "
Balit,San Luis,Agusan del Sur,Region XIII (Caraga),R," 1,062 "
Magtangale,San Francisco,Surigao del Norte,Region XIII (Caraga),R, 882 
Tongcopan,Lumba-Bayabao,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R, 867 
Pialot,Malabang,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R, 769 
Calocan West,City of Marawi ,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 1,200 "
Rorogagus Proper,City of Marawi ,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),U," 5,115 "
Ragondingan West,Buadiposo-Buntong,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R, 398 
Kapok-Punggol,Maimbung,Sulu,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R, 995 
Lapa,Maimbung,Sulu,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R, 651 
Bilaan ,Talipao,Sulu,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),U," 6,012 "
Bagua III,City of Cotabato,Maguindanao del Norte,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),U," 7,006 "
San Julian ,City of Batac,Ilocos Norte,Region I (Ilocos Region),R, 465 
"Bgy. No. 23, San Matias ",City of Laoag ,Ilocos Norte,Region I (Ilocos Region),U," 3,014 "
Dardarat,Cabugao,Ilocos Sur,Region I (Ilocos Region),R," 1,549 "
Buliclic,Santa Lucia,Ilocos Sur,Region I (Ilocos Region),R, 450 
Cabaritan,Santa Lucia,Ilocos Sur,Region I (Ilocos Region),R, 541 
Cabigbigaan,Santo Domingo,Ilocos Sur,Region I (Ilocos Region),R, 612 
Nalasin,Santo Domingo,Ilocos Sur,Region I (Ilocos Region),R," 1,320 "
Poblacion,Santo Domingo,Ilocos Sur,Region I (Ilocos Region),U, 813 
San Julian East,Agoo,La Union,Region I (Ilocos Region),R," 1,165 "
Oya-oy,Bacnotan,La Union,Region I (Ilocos Region),R, 561 
Pantar Norte,Balaoan,La Union,Region I (Ilocos Region),R," 1,369 "
Quibaol,Lingayen ,Pangasinan,Region I (Ilocos Region),R," 3,259 "
Bunugan,Baggao,Cagayan,Region II (Cagayan Valley),R," 1,367 "
Dibay,Calayan,Cagayan,Region II (Cagayan Valley),R," 1,659 "
Bugatay,Peñablanca,Cagayan,Region II (Cagayan Valley),R," 1,499 "
Alucao,Santa Teresita,Cagayan,Region II (Cagayan Valley),R," 1,611 "
San Juan,Tuao,Cagayan,Region II (Cagayan Valley),R," 1,016 "
Culing Centro,Cabatuan,Isabela,Region II (Cagayan Valley),R, 573 
Cassap Fuera,City of Cauayan,Isabela,Region II (Cagayan Valley),R, 105 
Santa Barbara ,City of Ilagan ,Isabela,Region II (Cagayan Valley),R," 1,107 "
Masaya Centro ,San Agustin,Isabela,Region II (Cagayan Valley),R," 1,521 "
San Antonio,Santa Maria,Isabela,Region II (Cagayan Valley),R," 1,507 "
Latar-Nocnoc-San Francisco,Aritao,Nueva Vizcaya,Region II (Cagayan Valley),R, 632 
Canabay,Dupax del Sur,Nueva Vizcaya,Region II (Cagayan Valley),R," 1,158 "
Villa Pascua,Diffun,Quirino,Region II (Cagayan Valley),R," 1,653 "
Tabing-Ilog ,Bagac,Bataan,Region III (Central Luzon),R," 1,321 "
Pinulot,Dinalupihan,Bataan,Region III (Central Luzon),R," 4,555 "
Palili,Samal,Bataan,Region III (Central Luzon),R," 2,284 "
Matimbo,City of Malolos ,Bulacan,Region III (Central Luzon),U," 6,649 "
Lawa,City of Meycauayan,Bulacan,Region III (Central Luzon),U," 15,592 "
San Fernando Norte,Cabiao,Nueva Ecija,Region III (Central Luzon),R," 3,822 "
Pacac,Guimba,Nueva Ecija,Region III (Central Luzon),R," 2,623 "
Calaocan,San Jose City,Nueva Ecija,Region III (Central Luzon),U," 5,945 "
Gatiawin,Arayat,Pampanga,Region III (Central Luzon),U," 7,121 "
Mabiga,Mabalacat City,Pampanga,Region III (Central Luzon),U," 24,042 "
Bulacus,Masantol,Pampanga,Region III (Central Luzon),R," 1,618 "
Pilpila,Santa Ignacia,Tarlac,Region III (Central Luzon),R," 2,222 "
Poblacion,City of Tarlac ,Tarlac,Region III (Central Luzon),U, 329 
Taltal,Masinloc,Zambales,Region III (Central Luzon),R," 4,807 "
Solis,Balete,Batangas,Region IV-A (CALABARZON),R, 790 
Malaya,Rosario,Batangas,Region IV-A (CALABARZON),R," 1,842 "
Gelerang Kawayan,San Pascual,Batangas,Region IV-A (CALABARZON),R," 1,718 "
San Antonio,City of Sto. Tomas,Batangas,Region IV-A (CALABARZON),U," 16,754 "
Banjo East,City of Tanauan,Batangas,Region IV-A (CALABARZON),U," 3,482 "
Mariano Espeleta III,City of Imus,Cavite,Region IV-A (CALABARZON),R," 1,423 "
Poblacion II-B,City of Imus,Cavite,Region IV-A (CALABARZON),R, 441 
San Miguel I B,Maragondon,Cavite,Region IV-A (CALABARZON),R," 1,349 "
Santol,Tanza,Cavite,Region IV-A (CALABARZON),U," 10,368 "
Bukal,Nagcarlan,Laguna,Region IV-A (CALABARZON),R, 796 
Ermita ,Paete,Laguna,Region IV-A (CALABARZON),R, 556 
Adia,Santa Maria,Laguna,Region IV-A (CALABARZON),R," 1,120 "
Buhay,Siniloan,Laguna,Region IV-A (CALABARZON),R," 1,110 "
Nanhaya ,Victoria,Laguna,Region IV-A (CALABARZON),U," 7,275 "
Villa Ibaba,Atimonan,Quezon,Region IV-A (CALABARZON),R, 934 
Santa Maria Ilaya,General Luna,Quezon,Region IV-A (CALABARZON),R, 262 
A. Mabini,Guinayangan,Quezon,Region IV-A (CALABARZON),R, 714 
Lumingon,Tiaong,Quezon,Region IV-A (CALABARZON),U," 5,144 "
San Juan,City of Antipolo ,Rizal,Region IV-A (CALABARZON),U," 10,062 "
Marfrancisco,Pinamalayan,Oriental Mindoro,MIMAROPA Region,U," 6,079 "
Sta. Rita,Pinamalayan,Oriental Mindoro,MIMAROPA Region,U," 3,028 "
Tabinay,Puerto Galera,Oriental Mindoro,MIMAROPA Region,R," 4,385 "
Ilian,Dumaran,Palawan,MIMAROPA Region,R," 1,607 "
Maasin,Quezon,Palawan,MIMAROPA Region,R," 2,501 "
Balogo,Banton,Romblon,MIMAROPA Region,R, 401 
Ambulong,Corcuera,Romblon,MIMAROPA Region,R, 509 
Agnaga,Romblon ,Romblon,MIMAROPA Region,R, 973 
Bayandong,Bacacay,Albay,Region V (Bicol Region),R," 1,773 "
Bgy. 47 - Arimbay,City of Legazpi ,Albay,Region V (Bicol Region),U," 4,004 "
Bgy. 44 - Pawa,City of Legazpi ,Albay,Region V (Bicol Region),R," 3,983 "
Nablangbulod,Pio Duran,Albay,Region V (Bicol Region),R, 870 
Apad,Polangui,Albay,Region V (Bicol Region),R," 1,495 "
Binawangan,Capalonga,Camarines Norte,Region V (Bicol Region),R," 1,895 "
San Isidro,Capalonga,Camarines Norte,Region V (Bicol Region),R, 224 
Magang,Daet ,Camarines Norte,Region V (Bicol Region),U," 7,676 "
Manlimonsito,San Lorenzo Ruiz,Camarines Norte,Region V (Bicol Region),R, 682 
San Rafael ,Bato,Camarines Sur,Region V (Bicol Region),R," 1,587 "
Balaynan,Goa,Camarines Sur,Region V (Bicol Region),R," 1,606 "
Manamoc,Lagonoy,Camarines Sur,Region V (Bicol Region),R, 946 
Beguito Nuevo,Libmanan,Camarines Sur,Region V (Bicol Region),R, 813 
Patag,Libmanan,Camarines Sur,Region V (Bicol Region),R," 2,360 "
Paloyon Proper,Nabua,Camarines Sur,Region V (Bicol Region),R," 3,085 "
Santa Barbara,Nabua,Camarines Sur,Region V (Bicol Region),R," 1,490 "
San Jose Oras,Ocampo,Camarines Sur,Region V (Bicol Region),R," 1,835 "
Dalupaon,Pasacao,Camarines Sur,Region V (Bicol Region),R," 3,977 "
Binalay,Tinambac,Camarines Sur,Region V (Bicol Region),R," 2,341 "
Tokio,Pandan,Catanduanes,Region V (Bicol Region),R, 782 
San Pablo ,Virac ,Catanduanes,Region V (Bicol Region),R, 870 
Dayao,Mandaon,Masbate,Region V (Bicol Region),R," 2,004 "
Luna,Placer,Masbate,Region V (Bicol Region),R," 2,491 "
Lahong,San Fernando,Masbate,Region V (Bicol Region),R, 391 
Roosevelt,San Jacinto,Masbate,Region V (Bicol Region),R, 814 
Quintina,San Pascual,Masbate,Region V (Bicol Region),R," 1,637 "
San Vicente,Uson,Masbate,Region V (Bicol Region),R," 1,197 "
Managanaga,Bulan,Sorsogon,Region V (Bicol Region),R," 3,347 "
Pinamanaan,Donsol,Sorsogon,Region V (Bicol Region),R, 337 
San Isidro,Donsol,Sorsogon,Region V (Bicol Region),R, 836 
Gogon,Prieto Diaz,Sorsogon,Region V (Bicol Region),R," 1,609 "
San Isidro,Prieto Diaz,Sorsogon,Region V (Bicol Region),R," 1,288 "
Banago,Caluya,Antique,Region VI (Western Visayas),R," 1,169 "
San Luis,Culasi,Antique,Region VI (Western Visayas),R, 795 
Caridad,Hamtic,Antique,Region VI (Western Visayas),R," 2,273 "
Piape I,Hamtic,Antique,Region VI (Western Visayas),R," 1,680 "
Buluangan I,Valderrama,Antique,Region VI (Western Visayas),R," 1,804 "
Agbanog,Pontevedra,Capiz,Region VI (Western Visayas),R, 928 
Sangkal,President Roxas,Capiz,Region VI (Western Visayas),R, 508 
Poblacion,Banate,Iloilo,Region VI (Western Visayas),U," 1,446 "
San Antonio,Barotac Viejo,Iloilo,Region VI (Western Visayas),U," 2,185 "
Lo-ong,Concepcion,Iloilo,Region VI (Western Visayas),R," 3,852 "
Calao,Dumangas,Iloilo,Region VI (Western Visayas),R," 2,213 "
Mangil,Janiuay,Iloilo,Region VI (Western Visayas),R," 1,244 "
Lapayon,Leganes,Iloilo,Region VI (Western Visayas),U," 2,700 "
Ubos Ilawod ,Miagao,Iloilo,Region VI (Western Visayas),U, 800 
Bgy. 16 Pob.,San Miguel,Iloilo,Region VI (Western Visayas),R, 457 
Tabu,Ilog,Negros Occidental,Region VI (Western Visayas),U," 7,612 "
Zone 14 ,City of Talisay,Negros Occidental,Region VI (Western Visayas),R, 535 
Poblacion,Nueva Valencia,Guimaras,Region VI (Western Visayas),U," 3,630 "
Bilisan,Dimiao,Bohol,Region VII (Central Visayas),R, 143 
Mawi,Duero,Bohol,Region VII (Central Visayas),R, 521 
Sacaon,Garcia Hernandez,Bohol,Region VII (Central Visayas),R, 622 
Quinoguitan,Loboc,Bohol,Region VII (Central Visayas),R, 562 
San Vicente,Pilar,Bohol,Region VII (Central Visayas),R, 807 
Magsaysay,Talibon,Bohol,Region VII (Central Visayas),R," 1,467 "
Kandingan,Aloguinsan,Cebu,Region VII (Central Visayas),R, 867 
Cabasiangan,Balamban,Cebu,Region VII (Central Visayas),R," 1,499 "
Lanipga,Consolacion,Cebu,Region VII (Central Visayas),R, 902 
Biasong,Pilar,Cebu,Region VII (Central Visayas),R, 406 
Cansalonoy,Ronda,Cebu,Region VII (Central Visayas),R, 920 
San Sebastian,Samboan,Cebu,Region VII (Central Visayas),R," 2,058 "
Salag,Tabogon,Cebu,Region VII (Central Visayas),R," 1,569 "
Malongcay Dacu,Dauin,Negros Oriental,Region VII (Central Visayas),R," 1,283 "
Mckinley,City of Guihulngan,Negros Oriental,Region VII (Central Visayas),R," 2,501 "
Poblacion II,Siaton,Negros Oriental,Region VII (Central Visayas),U," 2,168 "
Hindang,City of Borongan ,Eastern Samar,Region VIII (Eastern Visayas),R, 885 
Quezon,General Macarthur,Eastern Samar,Region VIII (Eastern Visayas),R, 173 
Barangay 1 ,Hernani,Eastern Samar,Region VIII (Eastern Visayas),R, 291 
San Vicente,Quinapondan,Eastern Samar,Region VIII (Eastern Visayas),R, 746 
Odiongan,Abuyog,Leyte,Region VIII (Eastern Visayas),R, 814 
Toloyao,Burauen,Leyte,Region VIII (Eastern Visayas),R, 398 
Pontod,Hilongos,Leyte,Region VIII (Eastern Visayas),R," 2,212 "
San Juan,Hilongos,Leyte,Region VIII (Eastern Visayas),R," 1,795 "
Baldoza,Hindang,Leyte,Region VIII (Eastern Visayas),R, 370 
Poblacion Zone 2,Javier,Leyte,Region VIII (Eastern Visayas),R," 1,301 "
Cuya-e,Julita,Leyte,Region VIII (Eastern Visayas),R, 714 
Santa Elena,La Paz,Leyte,Region VIII (Eastern Visayas),R, 845 
Cabatianuhan,San Miguel,Leyte,Region VIII (Eastern Visayas),R," 1,368 "
Doña Brigida,Tolosa,Leyte,Region VIII (Eastern Visayas),R," 1,622 "
Guirang,Basey,Samar,Region VIII (Eastern Visayas),R," 2,799 "
Baybay ,Basey,Samar,Region VIII (Eastern Visayas),U, 446 
Lawa-an ,Basey,Samar,Region VIII (Eastern Visayas),U, 676 
Piñaplata,Gandara,Samar,Region VIII (Eastern Visayas),R, 650 
Catorse De Agosto,Gandara,Samar,Region VIII (Eastern Visayas),R," 1,874 "
Barangay No. 2 ,Jiabong,Samar,Region VIII (Eastern Visayas),R, 218 
San Roque,Matuguinao,Samar,Region VIII (Eastern Visayas),R, 197 
Calantawan,Motiong,Samar,Region VIII (Eastern Visayas),R, 287 
Poblacion Barangay 1,San Sebastian,Samar,Region VIII (Eastern Visayas),R, 729 
Villahermosa Occidental,Pagsanghan,Samar,Region VIII (Eastern Visayas),R, 620 
Bunga,Bontoc,Southern Leyte,Region VIII (Eastern Visayas),R, 791 
San Antonio,Tomas Oppus,Southern Leyte,Region VIII (Eastern Visayas),R, 604 
Sigayan,City of Dapitan,Zamboanga del Norte,Region IX (Zamboanga Peninsula),R," 1,034 "
Miputak ,City of Dipolog ,Zamboanga del Norte,Region IX (Zamboanga Peninsula),U," 7,667 "
Tinglan,Mutia,Zamboanga del Norte,Region IX (Zamboanga Peninsula),R, 728 
Labakid,Sindangan,Zamboanga del Norte,Region IX (Zamboanga Peninsula),R," 2,343 "
Dulop,Dumingag,Zamboanga del Sur,Region IX (Zamboanga Peninsula),R," 2,109 "
Sapang Pinoles,Lakewood,Zamboanga del Sur,Region IX (Zamboanga Peninsula),R, 724 
Poblacion,Mabuhay,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),R," 4,765 "
Talaptap,Payao,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),R, 408 
Mate,Titay,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),R, 941 
Buenavista,Baungon,Bukidnon,Region X (Northern Mindanao),R, 634 
Lagandang,Damulog,Bukidnon,Region X (Northern Mindanao),R," 1,428 "
Patpat,City of Malaybalay ,Bukidnon,Region X (Northern Mindanao),U," 4,366 "
Barangay 11 ,City of Malaybalay ,Bukidnon,Region X (Northern Mindanao),R," 3,034 "
Anahawon,Maramag,Bukidnon,Region X (Northern Mindanao),U," 2,854 "
Butong,Quezon,Bukidnon,Region X (Northern Mindanao),U," 14,154 "
Santa Cruz,Quezon,Bukidnon,Region X (Northern Mindanao),R," 2,221 "
Indulang,Talakag,Bukidnon,Region X (Northern Mindanao),R," 4,414 "
Liguron,Talakag,Bukidnon,Region X (Northern Mindanao),R," 1,594 "
Poblacion,Sultan Naga Dimaporo,Lanao del Norte,Region X (Northern Mindanao),U," 8,183 "
Malabaogan,Magsaysay,Lanao del Norte,Region X (Northern Mindanao),R, 496 
Mentring,Maigo,Lanao del Norte,Region X (Northern Mindanao),R," 1,189 "
Poblacion,Maigo,Lanao del Norte,Region X (Northern Mindanao),U," 3,412 "
Membuli,Salay,Misamis Oriental,Region X (Northern Mindanao),R," 1,021 "
Datu Abdul Dadia,City of Panabo,Davao del Norte,Region XI (Davao Region),U," 7,394 "
Magwawa,Santo Tomas,Davao del Norte,Region XI (Davao Region),R," 1,644 "
New Cebu,Sulop,Davao del Sur,Region XI (Davao Region),R," 1,081 "
Datu Danwata,Malita ,Davao Occidental,Region XI (Davao Region),U," 5,993 "
Malabuan,Makilala,Cotabato,Region XII (SOCCSKSARGEN),R," 1,504 "
Balatican,Pikit,Cotabato,Region XII (SOCCSKSARGEN),R," 2,512 "
Buto,Tampakan,South Cotabato,Region XII (SOCCSKSARGEN),R," 1,962 "
Sabnangan,Luba,Abra,Cordillera Administrative Region (CAR),R, 599 
Kinabiti,Pilar,Abra,Cordillera Administrative Region (CAR),R, 830 
Tagaytay,San Juan,Abra,Cordillera Administrative Region (CAR),R, 646 
Balili,Mankayan,Benguet,Cordillera Administrative Region (CAR),U," 8,547 "
Buwag,Aguinaldo,Ifugao,Cordillera Administrative Region (CAR),R, 388 
Buaya,Balbalan,Kalinga,Cordillera Administrative Region (CAR),R," 1,040 "
Cagubatan,Tadian,Mountain Province,Cordillera Administrative Region (CAR),R, 836 
Lubon,Tadian,Mountain Province,Cordillera Administrative Region (CAR),R," 1,850 "
Poblacion 2,Tubay,Agusan del Norte,Region XIII (Caraga),R," 3,276 "
Sibaroy,City of Bislig,Surigao del Sur,Region XIII (Caraga),R, 931 
Cabas-an,Cantilan,Surigao del Sur,Region XIII (Caraga),R," 1,262 "
Laguna,Cagdianao,Dinagat Islands,Region XIII (Caraga),R, 754 
Sangbay Big,Hadji Muhtamad,Basilan,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 3,736 "
Lumbayao,Balindong,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 1,301 "
Bacolod Chico Proper,City of Marawi ,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 1,069 "
Papandayan Caniogan,City of Marawi ,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 2,409 "
Mansilano,Amai Manabilang,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R, 584 
Lusain,Kapatagan,Lanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 1,075 "
Manta,Siasi,Sulu,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 1,359 "
Tampakan ,Simunul,Tawi-Tawi,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 2,754 "
Katidtuan,Sultan Kudarat,Maguindanao del Norte,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 3,307 "
Talibadok,Datu Hoffer Ampatuan,Maguindanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),R," 3,360 "
Caraitan,Badoc,Ilocos Norte,Region I (Ilocos Region),R," 1,391 "
Santa Cruz Norte,Badoc,Ilocos Norte,Region I (Ilocos Region),R, 916 
Baruyen,Bangui,Ilocos Norte,Region I (Ilocos Region),R," 1,742 "
Colo,City of Batac,Ilocos Norte,Region I (Ilocos Region),R," 1,432 "
Tabungao,Pasuquin,Ilocos Norte,Region I (Ilocos Region),R, 161 
Puzol,Pinili,Ilocos Norte,Region I (Ilocos Region),R, 256 
Cabcaburao,Burgos,Ilocos Sur,Region I (Ilocos Region),R, 552 
Talogtog,City of Candon,Ilocos Sur,Region I (Ilocos Region),R," 1,992 "
Libang,Cervantes,Ilocos Sur,Region I (Ilocos Region),R," 1,044 "
Ampandula,Santa,Ilocos Sur,Region I (Ilocos Region),R, 602 
Angkileng,Santa Lucia,Ilocos Sur,Region I (Ilocos Region),R, 755 
Dunglayan,Santa Maria,Ilocos Sur,Region I (Ilocos Region),R, 750 
Paratong No. 4,Bangar,La Union,Region I (Ilocos Region),R, 895 
Bato,Naguilian,La Union,Region I (Ilocos Region),R," 1,675 "
Gumot-Nagcolaran,Rosario,La Union,Region I (Ilocos Region),R," 1,944 "
Udiao,Rosario,La Union,Region I (Ilocos Region),U," 2,553 "
Duplas,San Juan,La Union,Region I (Ilocos Region),R, 646 
Bongato West,Bayambang,Pangasinan,Region I (Ilocos Region),R, 845 
Bolosan,City of Dagupan,Pangasinan,Region I (Ilocos Region),U," 3,320 "
Aliwekwek,Lingayen ,Pangasinan,Region I (Ilocos Region),R," 1,549 "
Bucao,Manaoag,Pangasinan,Region I (Ilocos Region),R," 1,742 "
San Macario Sur,Natividad,Pangasinan,Region I (Ilocos Region),R," 1,305 "
Labuan,San Quintin,Pangasinan,Region I (Ilocos Region),R, 685 
Minien East,Santa Barbara,Pangasinan,Region I (Ilocos Region),U," 3,260 "
Flores,Umingan,Pangasinan,Region I (Ilocos Region),R," 2,258 "
Dr. Pedro T. Orata,City of Urdaneta,Pangasinan,Region I (Ilocos Region),R," 2,393 "
Banguian,Abulug,Cagayan,Region II (Cagayan Valley),R," 2,091 "
Caagaman,Aparri,Cagayan,Region II (Cagayan Valley),R," 1,684 "
Tabang,Santo Niño,Cagayan,Region II (Cagayan Valley),R," 1,462 "
Casalatan,City of Cauayan,Isabela,Region II (Cagayan Valley),R, 701 
Catalina,City of Cauayan,Isabela,Region II (Cagayan Valley),R, 99 
Luna,Quirino,Isabela,Region II (Cagayan Valley),R," 2,190 "
Villa Miguel,Quirino,Isabela,Region II (Cagayan Valley),R, 821 
Victoria,San Isidro,Isabela,Region II (Cagayan Valley),R," 1,916 "
Ibujan,San Mariano,Isabela,Region II (Cagayan Valley),R, 732 
Mauan,Bambang,Nueva Vizcaya,Region II (Cagayan Valley),R," 1,370 "
Gregorio Pimentel,Diffun,Quirino,Region II (Cagayan Valley),R, 839 
Divisoria Sur,Maddela,Quirino,Region II (Cagayan Valley),R," 1,131 "
Wawa ,Orion,Bataan,Region III (Central Luzon),R," 1,807 "
Real de Cacarong,Pandi,Bulacan,Region III (Central Luzon),R," 4,660 "
Cutcot,Pulilan,Bulacan,Region III (Central Luzon),U," 8,320 "
Poblacion East,Science City of Muñoz,Nueva Ecija,Region III (Central Luzon),U," 2,006 "
Sinasajan,Peñaranda,Nueva Ecija,Region III (Central Luzon),U," 5,130 "
Villa Boado,Talugtug,Nueva Ecija,Region III (Central Luzon),R," 1,192 "
Manaul,Zaragoza,Nueva Ecija,Region III (Central Luzon),R," 1,375 "
Sulipa,Gerona,Tarlac,Region III (Central Luzon),R," 1,732 "
Caanamongan,Santa Ignacia,Tarlac,Region III (Central Luzon),R," 1,868 "
Catol,Candelaria,Zambales,Region III (Central Luzon),R," 1,286 "
Sindol,San Felipe,Zambales,Region III (Central Luzon),R," 2,320 "
Borlongan,Dipaculao,Aurora,Region III (Central Luzon),R," 2,756 "
Magabe,Balayan,Batangas,Region IV-A (CALABARZON),R," 1,942 "
Durungao,Bauan,Batangas,Region IV-A (CALABARZON),R," 1,731 "
Maligaya,Lemery,Batangas,Region IV-A (CALABARZON),R," 1,055 "
Reparo,Nasugbu,Batangas,Region IV-A (CALABARZON),R," 2,389 "
Barangay IV ,City of Sto. Tomas,Batangas,Region IV-A (CALABARZON),U," 3,427 "
Caloocan,Talisay,Batangas,Region IV-A (CALABARZON),R," 1,741 "
Boot,City of Tanauan,Batangas,Region IV-A (CALABARZON),U," 6,505 "
Sabang,Tuy,Batangas,Region IV-A (CALABARZON),R," 3,349 "
Halang,Amadeo,Cavite,Region IV-A (CALABARZON),R," 2,205 "
Barangay 38,City of Cavite,Cavite,Region IV-A (CALABARZON),U, 961 
Alapan II-B,City of Imus,Cavite,Region IV-A (CALABARZON),U," 4,654 "
Bulihan,Silang,Cavite,Region IV-A (CALABARZON),U," 24,985 "
Niugan,City of Cabuyao,Laguna,Region IV-A (CALABARZON),U," 38,576 "
Barangay 9 ,Lucban,Quezon,Region IV-A (CALABARZON),U," 2,269 "
